# 青简基础词库，由 qingjian-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：青简自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
七十	qi shi	1761
七十七	qi shi qi	87
七十三	qi shi san	134
七十九	qi shi jiu	60
七十二	qi shi er	494
七十二行	qi shi er hang	4
七十五	qi shi wu	143
七十八	qi shi ba	86
七十六	qi shi liu	90
七十四	qi shi si	87
七号	qi hao	1356
七名	qi ming	674
七名举	qi ming ju	2
七名举人	qi ming ju ren	308
七品	qi pin	273
七嘴八舌	qi zui ba she	79
七堡	qi bao	51
七夕	qi xi	4810
七季	qi ji	25
七宝	qi bao	478
七尾	qi wei	237
七局	qi ju	130
七届	qi jie	494
七岁	qi sui	615
七巧板	qi qiao ban	22
七师	qi shi	171
七年	qi nian	6308
七年戊	qi nian wu	110
七弦琴	qi xian qin	9
七彩	qi cai	752
七律	qi lv	56
七情六欲	qi qing liu yu	11
七手八脚	qi shou ba jiao	55
七扭八歪	qi niu ba wai	2
七批	qi pi	6
七折八扣	qi zhe ba kou	14
七拼八凑	qi pin ba cou	7
七星	qi xing	699
七月	qi yue	6488
七濑	qi lai	262
七点	qi dian	4207
七点半	qi dian ban	1072
七百	qi bai	530
七窍	qi qiao	25
七窍生烟	qi qiao sheng yan	8
七绝	qi jue	61
七老八十	qi lao ba shi	102
七言诗	qi yan shi	15
七零八碎	qi ling ba sui	5
七零八落	qi ling ba luo	22
七龙	qi long	16
七龙珠	qi long zhu	841
万	mo	3359
万	wan	67182
万一	wan yi	8874
万万	wan wan	1367
万丈	wan zhang	213
万丈深渊	wan zhang shen yuan	27
万不得已	wan bu de yi	123
万世	wan shi	172
万事	wan shi	1316
万事亨通	wan shi heng tong	1
万事俱备	wan shi ju bei	84
万事大吉	wan shi da ji	143
万事如意	wan shi ru yi	1407
万事屋	wan shi wu	485
万事胜意	wan shi sheng yi	477
万事达	wan shi da	66
万事通	wan shi tong	43
万亩	wan mu	473
万人坑	wan ren keng	61
万人空巷	wan ren kong xiang	24
万亿	wan yi	283
万代	wan dai	545
万令	wan ling	2
万令吉	wan ling ji	423
万份	wan fen	739
万众	wan zhong	205
万众一心	wan zhong yi xin	31
万余	wan yu	848
万余人	wan yu ren	532
万倍	wan bei	362
万儿八千	wan er ba qian	12
万元	wan yuan	7678
万元户	wan yuan hu	44
万全	wan quan	138
万全之策	wan quan zhi ce	15
万兴	wan xing	73
万册	wan ce	528
万分	wan fen	1424
万劫不复	wan jie bu fu	153
万千	wan qian	825
万华	wan hua	299
万历	wan li	2198
万历三	wan li san	164
万历三十	wan li san shi	991
万历二	wan li er	475
万历二十	wan li er shi	1180
万历五	wan li wu	1
万历五年	wan li wu nian	389
万历八	wan li ba	336
万历八年	wan li ba nian	336
万历十	wan li shi	623
万历十三	wan li shi san	251
万历十六	wan li shi liu	275
万历十四	wan li shi si	350
万历四	wan li si	171
万历四十	wan li si shi	1175
万县	wan xian	148
万古	wan gu	112
万古流芳	wan gu liu fang	10
万古长青	wan gu chang qing	15
万吨	wan dun	1299
万国	wan guo	431
万圣	wan sheng	124
万圣节	wan sheng jie	1226
万块	wan kuai	595
万块钱	wan kuai qian	312
万塔	wan ta	50
万套	wan tao	249
万字	wan zi	720
万宁市	wan ning shi	133
万宝	wan bao	68
万宝路	wan bao lu	122
万家	wan jia	246
万家灯火	wan jia deng huo	14
万寿	wan shou	346
万寿无疆	wan shou wu jiang	99
万岁	wan sui	1530
万州	wan zhou	605
万年	wan nian	3235
万年历	wan nian li	39
万年青	wan nian qing	46
万幸	wan xing	626
万念俱灰	wan nian ju hui	83
万恶	wan e	714
万户	wan hu	562
万户侯	wan hu hou	14
万新	wan xin	86
万方	wan fang	136
万无一失	wan wu yi shi	45
万春	wan chun	68
万有引力	wan you yin li	110
万柏林	wan bai lin	58
万步	wan bu	330
万死不辞	wan si bu ci	4
万民	wan min	60
万水千山	wan shui qian shan	167
万泉	wan quan	69
万物	wan wu	1211
万物之灵	wan wu zhi ling	14
万状	wan zhuang	3
万用表	wan yong biao	12
万福	wan fu	253
万秀	wan xiu	52
万科	wan ke	137
万端	wan duan	2
万箭穿心	wan jian chuan xin	61
万籁	wan lai	17
万籁俱寂	wan lai ju ji	6
万紫千红	wan zi qian hong	61
万股	wan gu	225
万能	wan neng	2755
万能胶	wan neng jiao	14
万般	wan ban	176
万般无奈	wan ban wu nai	27
万花筒	wan hua tong	86
万诺	wan nuo	3
万诺沃	wan nuo wo	266
万诺维	wan nuo wei	411
万诺维奇	wan nuo wei qi	410
